Date,Open,High,Low,Close,Volume,Adj Close
2017-02-06,352.209,352.209,352.209,352.209,000,277.209
2017-02-03,352.139,373.558,352.139,373.558,000,294.0119
2017-02-02,351.00,351.00,351.00,351.00,000,276.2574
2017-02-01,348.862,369.188,348.862,369.188,000,290.5724
2017-01-31,351.00,370.642,351.00,370.642,000,291.7168
2017-01-30,371.00,372.609,371.00,372.609,000,293.265
2017-01-27,351.00,366.27,351.00,366.27,000,288.2758
2017-01-26,351.00,369.396,351.00,368.265,000,289.846
2017-01-25,348.86,348.86,348.86,348.86,000,274.5731
2017-01-24,343.86,364.116,343.86,364.116,200,286.5805
2017-01-23,334.882,334.882,334.882,334.882,000,263.5716
2017-01-20,326.836,326.836,326.836,326.836,000,257.239
2017-01-19,328.083,328.083,328.083,328.083,000,258.2204
2017-01-18,328.748,348.357,328.748,348.141,000,274.0072
2017-01-17,678.00,678.00,678.00,678.00,000,266.8127
2017-01-16,675.074,675.074,675.074,675.074,000,265.6613
2017-01-13,670.322,670.322,670.322,670.322,000,263.7912
2017-01-12,663.70,695.203,663.70,695.203,000,273.5826
2017-01-11,662.39,689.019,662.39,689.019,000,271.149
2017-01-10,659.353,689.00,659.353,689.00,000,271.1416
2017-01-09,655.027,689.019,655.027,689.019,000,271.149
2017-01-06,662.65,662.65,662.65,662.65,000,260.7721
2017-01-05,660.705,676.132,660.705,676.132,000,266.0776
2017-01-04,643.287,643.287,643.287,643.287,000,253.1522
2017-01-03,634.862,634.862,634.862,634.862,000,249.8367
2017-01-02,632.73,632.73,632.73,632.73,000,248.9977
2016-12-30,624.897,656.353,624.897,656.353,000,258.294
2016-12-29,633.653,633.653,633.653,633.653,000,249.3609
2016-12-28,625.978,659.568,625.978,640.00,000,251.8586
2016-12-27,626.931,626.931,626.931,626.931,000,246.7156
2016-12-26,650.00,650.00,650.00,650.00,000,255.7939
2016-12-23,625.59,650.00,625.59,650.00,000,255.7939
2016-12-22,625.753,673.671,625.753,673.671,000,265.1092
2016-12-21,627.454,658.995,627.454,658.995,000,259.3337
2016-12-20,639.47,639.47,639.47,639.47,000,251.6501
2016-12-19,630.53,630.53,630.53,630.53,000,248.1319
2016-12-16,609.786,609.786,609.786,609.786,000,239.9686
2016-12-15,607.915,607.915,607.915,607.915,000,239.2322
2016-12-14,600.653,600.653,600.653,600.653,000,236.3745
2016-12-13,606.595,606.595,606.595,606.595,000,238.7128
2016-12-12,580.498,612.045,580.498,612.045,000,240.8575
2016-12-09,578.365,578.365,578.365,578.365,000,227.6035
2016-12-08,572.024,605.146,572.024,577.544,000,227.2804
2016-12-07,580.728,580.728,580.728,580.728,000,228.5334
2016-12-06,1161.918,1161.918,1161.918,1161.918,000,457.2486
2016-12-05,1240.00,1240.00,1219.176,1219.176,000,479.7813
2016-12-02,1215.958,1215.958,1215.958,1215.958,000,478.5149
2016-12-01,1257.092,1257.092,1257.092,1257.092,000,494.7023
2016-11-30,1310.00,1310.00,1310.00,1310.00,000,515.5231
2016-11-29,1310.00,1351.512,1310.00,1351.512,000,531.8593
2016-11-28,1310.00,1310.00,1310.00,1310.00,000,515.5231
2016-11-25,1346.4821,1346.4821,1346.4821,1346.4821,000,529.8799
2016-11-24,1287.70,1287.70,1287.70,1287.70,000,506.7474
2016-11-23,1273.568,1273.568,1273.568,1273.568,000,501.1861
2016-11-22,1274.45,1274.45,1274.45,1274.45,000,501.5332
2016-11-21,1279.006,1279.006,1279.006,1279.006,000,503.3261
2016-11-18,1271.8101,1271.8101,1271.8101,1271.8101,000,500.4943
2016-11-17,1277.7321,1277.7321,1277.7321,1277.7321,000,502.8248
2016-11-16,1258.452,1258.452,1258.452,1258.452,000,495.2375
2016-11-15,1259.00,1259.00,1259.00,1259.00,000,495.4532
2016-11-14,1277.626,1277.626,1277.626,1277.626,000,502.783
2016-11-11,1277.984,1277.984,1277.984,1277.984,000,502.9239
2016-11-10,1289.05,1289.05,1281.986,1281.986,000,504.4988
2016-11-09,1256.00,1256.00,1256.00,1256.00,000,494.2726
2016-11-08,1253.7061,1253.7061,1253.7061,1253.7061,000,493.3698
2016-11-07,1255.4139,1300.00,1255.4139,1300.00,000,511.5879
2016-11-04,1261.0179,1261.0179,1261.0179,1261.0179,000,496.2473
2016-11-03,1278.374,1278.374,1278.374,1278.374,000,503.0774
2016-11-02,1276.0341,1276.0341,1276.0341,1276.0341,000,502.1566
2016-11-01,1292.96,1292.96,1292.96,1292.96,000,508.8174
2016-10-31,1379.3719,1379.3719,1330.00,1330.00,000,523.3937
2016-10-28,1332.00,1332.00,1332.00,1332.00,000,524.1808
2016-10-27,1330.00,1330.00,1330.00,1330.00,000,523.3937
2016-10-26,1330.17,1330.17,1330.17,1330.17,000,523.4606
2016-10-25,1329.964,1329.964,1329.964,1329.964,000,523.3796
2016-10-24,1324.866,1379.996,1324.866,1379.996,000,543.0686
2016-10-21,1323.194,1323.194,1323.194,1323.194,000,520.7154
2016-10-20,1352.00,1383.896,1314.002,1314.002,000,517.098
2016-10-19,1340.00,1390.00,1340.00,1390.00,000,547.0055
2016-10-18,1384.024,1385.66,1384.024,1385.66,000,545.2976
2016-10-17,1330.00,1330.00,1330.00,1330.00,000,523.3937
2016-10-14,1324.00,1324.00,1324.00,1324.00,000,521.0326
2016-10-13,1324.00,1324.00,1324.00,1324.00,000,521.0326
2016-10-12,1324.00,1324.00,1324.00,1324.00,000,521.0326
2016-10-11,1291.00,1367.756,1291.00,1367.756,000,538.2518
2016-10-10,1294.332,1369.55,1294.332,1369.55,000,538.9578
2016-10-07,1296.7581,1365.882,1296.7581,1365.882,000,537.5143
2016-10-06,1282.306,1282.306,1282.306,1282.306,000,504.6248
2016-10-05,1280.928,1280.928,1280.928,1280.928,000,504.0825
2016-10-04,1340.00,1340.00,1340.00,1340.00,000,527.329
2016-10-03,1320.00,1320.00,1320.00,1320.00,000,519.4584
2016-09-30,1320.00,1320.00,1320.00,1320.00,000,519.4584
2016-09-29,1290.00,1327.3521,1290.00,1327.3521,000,522.3517
2016-09-28,1280.00,1280.00,1280.00,1280.00,000,503.7173
2016-09-27,1264.226,1320.00,1264.226,1320.00,000,519.4584
2016-09-26,1310.00,1310.00,1310.00,1310.00,000,515.5231
2016-09-23,1300.00,1322.504,1300.00,1322.504,000,520.4438
2016-09-22,1280.00,1330.5959,1280.00,1330.5959,000,523.6282
2016-09-21,1280.00,1280.00,1280.00,1280.00,000,503.7173
2016-09-20,1300.00,1324.83,1268.002,1324.83,000,521.3592
2016-09-19,1232.00,1303.464,1232.00,1299.7679,000,511.4965
2016-09-16,1232.00,1232.00,1232.00,1232.00,000,484.8279
2016-09-15,1232.00,1232.00,1232.00,1232.00,000,484.8279
2016-09-14,1232.00,1272.756,1232.00,1272.756,000,422.1607
2016-09-13,1232.00,1232.00,1232.00,1232.00,000,408.6424
2016-09-12,1232.00,1232.00,1232.00,1232.00,000,408.6424
2016-09-09,1232.00,1232.00,1232.00,1232.00,000,408.6424
2016-09-08,1235.196,1235.196,1235.196,1235.196,000,409.7025
2016-09-07,1251.358,1251.358,1251.358,1251.358,000,415.0632
2016-09-06,1232.00,1232.00,1232.00,1232.00,000,408.6424
2016-09-05,1232.00,1232.00,1232.00,1232.00,000,408.6424
2016-09-02,1199.014,1264.316,1199.014,1264.316,000,419.3613
2016-09-01,1286.1219,1286.1219,1286.1219,1286.1219,000,426.5941
2016-08-31,1228.288,1228.288,1228.288,1228.288,000,407.4111
2016-08-30,1224.1379,1224.1379,1224.1379,1224.1379,000,406.0346
2016-08-29,1220.54,1220.54,1220.54,1220.54,000,404.8412
2016-08-26,1220.152,1220.152,1220.152,1220.152,000,404.7125
2016-08-25,1237.412,1237.412,1237.412,1237.412,000,410.4375
2016-08-24,1238.718,1238.718,1238.718,1238.718,000,410.8707
2016-08-23,1232.2581,1232.2581,1232.2581,1232.2581,000,408.7279
2016-08-22,1217.824,1217.824,1217.824,1217.824,000,403.9403
2016-08-19,1231.26,1231.26,1231.26,1231.26,000,408.3969
2016-08-18,1236.678,1236.678,1236.678,1236.678,000,410.194
2016-08-17,1267.09,1267.09,1267.09,1267.09,000,420.2814
2016-08-16,1271.92,1271.92,1271.92,1271.92,000,421.8834
2016-08-15,1283.938,1283.938,1283.938,1283.938,000,425.8697
2016-08-12,1272.176,1272.176,1272.176,1272.176,000,421.9683
2016-08-11,1269.50,1351.0959,1269.50,1351.0959,000,448.1453
2016-08-10,1278.338,1278.338,1278.338,1278.338,000,424.0122
2016-08-09,1270.668,1270.668,1270.668,1270.668,000,421.4681
2016-08-08,1274.79,1274.79,1274.79,1274.79,000,422.8354
2016-08-05,1268.0081,1270.088,1268.0081,1270.088,000,421.2758
2016-08-04,1282.776,1282.776,1282.776,1282.776,000,425.4843
2016-08-03,1257.772,1257.772,1257.772,1257.772,000,417.1907
2016-08-02,1281.584,1281.584,1281.584,1281.584,000,425.0889
2016-08-01,1235.604,1235.604,1235.604,1235.604,000,409.8378
2016-07-29,1232.452,1232.452,1232.452,1232.452,000,408.7923
2016-07-28,1232.548,1232.548,1232.548,1232.548,000,408.8241
2016-07-27,1244.79,1244.79,1244.79,1244.79,000,412.8847
2016-07-26,1234.996,1302.058,1234.996,1299.734,000,431.1091
2016-07-25,1214.2939,1214.2939,1214.2939,1214.2939,000,402.7694
2016-07-22,1190.324,1190.324,1190.324,1190.324,000,394.8188
2016-07-21,1176.226,1176.226,1176.226,1176.226,000,390.1426
2016-07-20,1195.562,1195.562,1195.562,1195.562,000,396.5562
2016-07-19,1235.212,1235.212,1235.212,1235.212,000,409.7078
2016-07-18,1165.964,1165.964,1165.964,1165.964,000,386.7389
2016-07-15,1161.594,1161.594,1161.594,1161.594,000,385.2894
2016-07-14,1197.4919,1258.2841,1197.4919,1258.2841,000,417.3605
2016-07-13,1305.96,1305.96,1305.96,1305.96,000,433.1741
2016-07-12,1259.5341,1259.5341,1259.5341,1259.5341,000,417.7751
2016-07-11,1263.434,1263.434,1263.434,1263.434,000,419.0687
2016-07-08,1237.974,1237.974,1237.974,1237.974,000,410.6239
2016-07-07,1244.60,1244.60,1244.60,1244.60,000,412.8216
2016-07-06,1242.71,1242.71,1242.71,1242.71,000,412.1947
2016-07-05,1229.5179,1229.5179,1229.5179,1229.5179,000,407.8191
2016-07-04,1266.1541,1266.1541,1266.1541,1266.1541,000,419.9709
2016-07-01,1194.358,1194.358,1194.358,1194.358,000,396.1569
2016-06-30,1181.48,1181.48,1181.48,1181.48,000,391.8854
2016-06-29,1195.578,1195.578,1195.578,1195.578,000,396.5615
2016-06-28,1166.808,1166.808,1166.808,1166.808,000,387.0188
2016-06-27,1169.214,1169.214,1169.214,1169.214,000,387.8168
2016-06-24,1122.02,1153.408,1122.02,1153.408,000,382.5741
2016-06-23,1127.22,1127.22,1127.22,1127.22,000,373.8878
2016-06-22,1139.084,1199.042,1139.084,1199.042,000,397.7105
2016-06-21,1136.34,1136.34,1136.34,1136.34,000,376.9129
2016-06-20,1120.356,1120.356,1120.356,1120.356,000,371.6111
2016-06-17,1117.384,1117.384,1117.384,1117.384,000,370.6254
2016-06-16,1097.816,1097.816,1097.816,1097.816,000,364.1348
2016-06-15,1115.012,1115.012,1115.012,1115.012,000,336.6696
2016-06-14,1101.6021,1101.6021,1101.6021,1101.6021,000,332.6205
2016-06-13,1108.926,1108.926,1108.926,1108.926,000,334.832
2016-06-10,1101.576,1101.576,1101.576,1101.576,000,332.6127
2016-06-09,1110.00,1110.00,1110.00,1110.00,000,335.1562
2016-06-08,1110.00,1110.00,1110.00,1110.00,000,335.1562
2016-06-07,1110.00,1110.00,1110.00,1110.00,000,335.1562
2016-06-06,1110.00,1110.00,1110.00,1110.00,000,335.1562
2016-06-03,1110.00,1110.00,1110.00,1110.00,000,335.1562
2016-06-02,1123.0601,1123.0601,1123.0601,1123.0601,000,339.0996
2016-06-01,1115.73,1115.73,1115.73,1115.73,000,336.8864
2016-05-31,1102.684,1102.684,1102.684,1102.684,000,332.9472
2016-05-30,1091.234,1091.234,1091.234,1091.234,000,329.49
2016-05-27,1094.0179,1094.0179,1094.0179,1094.0179,000,330.3306
2016-05-26,1068.516,1068.516,1068.516,1068.516,000,322.6305
2016-05-25,1076.568,1076.568,1076.568,1076.568,000,325.0617
2016-05-24,1069.964,1069.964,1069.964,1069.964,000,323.0677
2016-05-23,1069.652,1069.652,1069.652,1069.652,000,322.9735
2016-05-20,1081.396,1081.396,1081.396,1081.396,000,326.5195
2016-05-19,1073.308,1142.774,1073.308,1142.774,000,345.0521
2016-05-18,1076.194,1076.194,1076.194,1076.194,000,324.9488
2016-05-17,1079.5179,1079.5179,1079.5179,1079.5179,000,325.9524
2016-05-16,1049.85,1049.85,1049.85,1049.85,000,316.9944
2016-05-13,1049.85,1049.85,1049.85,1049.85,000,316.9944
2016-05-12,1043.318,1043.318,1043.318,1043.318,000,315.0221
2016-05-11,1053.238,1053.238,1053.238,1053.238,000,318.0174
2016-05-10,1037.048,1037.048,1037.048,1037.048,000,313.1289
2016-05-09,1034.068,1034.068,1034.068,1034.068,000,312.2291
2016-05-06,1042.02,1042.02,1034.7841,1034.7841,000,312.4453
2016-05-05,1042.02,1042.02,1042.02,1042.02,000,314.6302
2016-05-04,1042.02,1085.304,1042.02,1085.304,000,327.6995
2016-05-03,1039.248,1039.248,1039.248,1039.248,000,313.7932
2016-05-02,1040.012,1040.012,1037.042,1037.042,000,313.1271
2016-04-29,1066.708,1066.708,1066.708,1066.708,000,322.0845
2016-04-28,1080.00,1080.00,1080.00,1080.00,000,326.098
2016-04-27,1015.738,1015.738,1015.738,1015.738,000,306.6945
2016-04-26,1043.2679,1043.2679,1043.2679,1043.2679,000,315.007
2016-04-25,1033.968,1033.968,1033.968,1033.968,000,312.1989
2016-04-22,1045.558,1045.558,1045.558,1045.558,000,315.6985
2016-04-21,1045.632,1045.632,1045.632,1045.632,000,315.7208
2016-04-20,1025.668,1025.668,1025.668,1025.668,000,309.6928
2016-04-19,973.36,973.36,973.36,973.36,000,293.8988
2016-04-18,971.672,971.672,971.672,971.672,000,293.3891
2016-04-15,983.934,983.934,983.934,983.934,000,297.0916
2016-04-14,1007.584,1071.384,1007.584,1071.384,000,323.4964
2016-04-13,970.758,970.758,970.758,970.758,000,293.1132
2016-04-12,926.666,926.666,926.666,926.666,000,279.7999
2016-04-11,921.934,921.934,921.934,921.934,000,278.3711
2016-04-08,950.13,950.13,950.13,950.13,000,286.8847
2016-04-07,954.768,970.00,954.768,970.00,000,292.8843
2016-04-06,940.422,940.422,940.422,940.422,000,283.9534
2016-04-05,906.858,906.858,906.858,906.858,000,273.819
2016-04-04,969.998,969.998,969.998,969.998,000,292.8837
2016-04-01,907.96,907.96,907.96,907.96,000,274.1518
2016-03-31,937.444,937.444,937.444,937.444,000,283.0542
2016-03-30,946.306,946.306,946.306,946.306,000,285.7301
2016-03-29,970.808,970.808,960.268,960.268,000,289.9458
2016-03-28,938.37,938.37,938.37,938.37,000,283.3338
2016-03-25,938.37,938.37,938.37,938.37,000,283.3338
2016-03-24,938.37,938.37,938.37,938.37,000,283.3338
2016-03-23,944.842,944.842,944.842,944.842,000,285.288
2016-03-22,943.522,976.46,943.522,976.46,000,294.8348
2016-03-21,905.862,905.862,905.358,905.358,000,273.3661
2016-03-18,929.014,929.014,929.014,929.014,000,280.5089
2016-03-17,940.02,940.02,938.136,938.136,000,283.2632
2016-03-16,941.95,941.95,941.95,941.95,000,284.4148
2016-03-15,946.156,946.156,946.156,946.156,000,195.102
2016-03-14,938.338,938.338,938.338,938.338,000,193.4899
2016-03-11,917.338,917.338,917.338,917.338,000,189.1596
2016-03-10,939.562,939.562,939.562,939.562,000,193.7423
2016-03-09,923.948,923.948,923.948,923.948,000,190.5226
2016-03-08,930.94,930.94,930.94,930.94,000,191.9644
2016-03-07,949.892,949.892,949.892,949.892,000,195.8724
2016-03-04,962.50,962.50,962.50,962.50,000,198.4722
2016-03-03,963.138,963.138,963.138,963.138,000,198.6038
2016-03-02,961.806,961.806,961.806,961.806,000,198.3291
2016-03-01,929.202,929.202,929.202,929.202,000,191.606
2016-02-29,934.526,934.526,934.526,934.526,000,192.7038
2016-02-26,938.956,938.956,938.956,938.956,000,193.6173
2016-02-25,927.384,950.242,927.384,950.242,000,195.9445
2016-02-24,927.338,927.338,927.338,927.338,000,191.2216
2016-02-23,936.246,936.246,936.246,936.246,000,193.0585
2016-02-22,923.152,923.152,923.152,923.152,000,190.3585
2016-02-19,908.622,908.622,908.622,908.622,000,187.3623
2016-02-18,906.942,906.942,906.942,906.942,000,187.0159
2016-02-17,870.63,870.63,870.63,870.63,000,179.5282
2016-02-16,878.384,878.384,878.384,878.384,000,181.1271
2016-02-15,843.062,843.062,843.062,843.062,000,173.8435
2016-02-12,791.20,836.492,791.20,836.492,000,172.4887
2016-02-11,822.528,822.528,822.528,822.528,000,169.6093
2016-02-10,806.528,806.528,806.528,806.528,000,166.31
2016-02-09,799.464,799.464,799.464,799.464,000,164.8534
2016-02-08,876.104,876.104,876.104,876.104,000,180.6569
