Date,Open,High,Low,Close,Volume,Adj Close
2017-02-06,26.469999,26.65,26.290001,26.41,106800,26.41
2017-02-03,26.41,26.76,26.25,26.700001,304400,26.700001
2017-02-02,25.030001,25.16,24.889999,25.09,114900,25.09
2017-02-01,24.790001,25.01,24.780001,25.00,178400,25.00
2017-01-31,25.299999,25.549999,24.120001,24.73,741000,24.73
2017-01-30,25.41,25.639999,25.33,25.41,720600,25.41
2017-01-27,25.629999,25.84,25.379999,25.389999,167000,25.389999
2017-01-26,26.25,26.25,25.780001,25.809999,131800,25.809999
2017-01-25,25.969999,26.25,25.950001,26.25,210000,26.25
2017-01-24,26.01,26.139999,25.65,25.959999,474400,25.959999
2017-01-23,25.85,26.040001,25.799999,25.969999,131100,25.969999
2017-01-20,25.84,25.98,25.700001,25.76,145800,25.76
2017-01-19,25.85,26.190001,25.690001,26.129999,512800,26.129999
2017-01-18,25.99,25.99,25.690001,25.719999,159400,25.719999
2017-01-17,25.959999,26.15,25.84,26.120001,226600,26.120001
2017-01-13,25.90,26.17,25.67,25.85,1615700,25.85
2017-01-12,27.85,27.889999,27.34,27.60,408400,27.60
2017-01-11,27.26,27.48,27.049999,27.469999,467900,27.469999
2017-01-10,26.469999,27.280001,26.35,27.00,767100,27.00
2017-01-09,26.00,26.08,25.889999,26.08,323300,26.08
2017-01-06,25.799999,26.00,25.719999,26.00,369800,26.00
2017-01-05,26.18,26.18,25.77,25.84,147100,25.84
2017-01-04,26.08,26.16,25.93,26.16,236300,26.16
2017-01-03,25.98,26.219999,25.950001,26.190001,213800,26.190001
2016-12-30,26.00,26.25,25.90,25.950001,210300,25.950001
2016-12-29,25.940001,26.10,25.77,25.940001,161200,25.940001
2016-12-28,26.00,26.09,25.73,25.76,180700,25.76
2016-12-27,25.85,26.200001,25.84,26.08,276400,26.08
2016-12-23,24.959999,25.15,24.65,25.040001,286300,25.040001
2016-12-22,24.940001,25.07,24.440001,24.610001,860900,24.610001
2016-12-21,26.15,26.299999,25.360001,25.73,736200,25.73
2016-12-20,26.27,26.690001,26.10,26.41,774300,26.41
2016-12-19,26.25,26.389999,25.85,26.040001,843900,26.040001
2016-12-16,28.15,28.17,26.719999,27.110001,2559700,27.110001
2016-12-15,29.559999,29.59,29.35,29.360001,926000,29.360001
2016-12-14,30.549999,30.709999,30.280001,30.35,1026100,30.35
2016-12-13,31.15,31.799999,30.75,31.219999,701800,31.219999
2016-12-12,31.969999,32.130001,31.83,32.09,580500,32.09
2016-12-09,32.049999,32.18,31.559999,32.099998,590100,32.099998
2016-12-08,30.92,31.41,30.90,31.34,887200,31.34
2016-12-07,30.530001,31.00,30.530001,30.99,193100,30.99
2016-12-06,30.209999,30.74,30.209999,30.65,110100,30.65
2016-12-05,30.15,30.15,29.65,29.93,153700,29.93
2016-12-02,29.690001,29.870001,29.52,29.610001,163300,29.610001
2016-12-01,30.389999,30.60,30.23,30.290001,439600,30.290001
2016-11-30,30.84,31.200001,30.52,30.83,495200,30.83
2016-11-29,31.01,31.25,31.00,31.219999,376700,31.219999
2016-11-28,31.23,31.450001,31.049999,31.18,220900,31.18
2016-11-25,31.030001,31.77,30.75,30.99,389400,30.99
2016-11-23,31.540001,32.59,31.40,32.00,339900,32.00
2016-11-22,31.23,31.98,31.23,31.90,231600,31.90
2016-11-21,31.00,31.299999,31.00,31.280001,259700,31.280001
2016-11-18,30.25,30.530001,30.200001,30.49,261500,30.49
2016-11-17,29.940001,30.15,29.719999,30.139999,328100,30.139999
2016-11-16,28.91,29.209999,28.91,29.15,669200,29.15
2016-11-15,28.540001,28.799999,28.40,28.780001,235000,28.780001
2016-11-14,28.58,28.75,28.299999,28.42,702600,28.42
2016-11-11,28.51,28.610001,28.17,28.459999,284600,28.459999
2016-11-10,28.75,28.99,28.60,28.74,1171100,28.74
2016-11-09,28.16,28.92,28.139999,28.790001,763800,28.790001
2016-11-08,29.200001,29.34,29.10,29.23,179600,29.23
2016-11-07,29.469999,29.549999,29.379999,29.50,163800,29.50
2016-11-04,29.48,29.75,29.40,29.43,180100,29.43
2016-11-03,30.440001,30.440001,30.309999,30.33,126300,30.33
2016-11-02,30.17,30.67,30.17,30.25,112000,30.25
2016-11-01,30.049999,30.299999,29.93,30.10,192000,30.10
2016-10-31,30.18,30.25,30.07,30.09,245300,30.09
2016-10-28,30.24,30.42,30.07,30.17,417200,30.17
2016-10-27,29.469999,29.76,29.469999,29.65,436200,29.65
2016-10-26,28.90,28.90,27.90,28.030001,723400,28.030001
2016-10-25,29.459999,29.68,29.209999,29.58,200700,29.58
2016-10-24,28.809999,29.120001,28.73,29.09,749100,29.09
2016-10-21,30.360001,30.700001,30.33,30.469999,660700,30.469999
2016-10-20,32.439999,32.830002,32.09,32.369999,1174700,32.369999
2016-10-19,31.52,31.60,31.43,31.59,215300,31.59
2016-10-18,31.50,31.690001,31.280001,31.629999,217800,31.629999
2016-10-17,31.219999,31.23,31.00,31.23,206200,31.23
2016-10-14,32.00,32.23,31.719999,32.02,504600,32.02
2016-10-13,31.17,31.379999,31.15,31.219999,400900,31.219999
2016-10-12,31.15,31.379999,31.10,31.209999,191900,31.209999
2016-10-11,31.700001,31.700001,31.41,31.67,325500,31.67
2016-10-10,32.59,32.59,32.16,32.419998,170100,32.419998
2016-10-07,32.330002,32.619999,31.92,32.18,115900,32.18
2016-10-06,31.85,31.99,31.629999,31.799999,119400,31.799999
2016-10-05,32.209999,32.580002,32.209999,32.540001,107100,32.540001
2016-10-04,31.889999,32.330002,31.82,31.889999,228300,31.889999
2016-10-03,32.73,32.73,32.43,32.490002,156300,32.490002
2016-09-30,32.990002,33.099998,32.889999,32.98,547900,32.98
2016-09-29,33.400002,33.77,33.060001,33.209999,180700,33.209999
2016-09-28,33.389999,33.740002,33.310001,33.740002,272300,33.740002
2016-09-27,33.029999,33.50,33.029999,33.41,287100,33.41
2016-09-26,32.77,33.02,32.630001,32.98,246600,32.98
2016-09-23,33.529999,33.57,33.43,33.50,193300,33.50
2016-09-22,33.599998,33.880001,33.470001,33.740002,633300,33.740002
2016-09-21,33.099998,33.419998,33.099998,33.400002,328800,33.400002
2016-09-20,33.349998,33.580002,33.32,33.48,474800,33.48
2016-09-19,32.990002,33.049999,32.77,32.869999,194600,32.869999
2016-09-16,32.970001,33.200001,32.630001,32.700001,160700,32.700001
2016-09-15,32.689999,33.25,32.52,33.110001,394100,33.110001
2016-09-14,31.219999,31.690001,31.16,31.60,497100,31.60
2016-09-13,31.25,31.93,31.09,31.35,987800,31.35
2016-09-12,32.639999,33.16,32.490002,33.150002,522100,33.150002
2016-09-09,33.34,33.540001,32.799999,32.900002,873800,32.900002
2016-09-08,34.130001,34.27,33.099998,33.880001,3235900,33.880001
2016-09-07,30.209999,36.549999,30.00,36.32,7854400,36.32
